a great deal,nagyon sok
stigmatization,megbélyegzés
stop,megáll
story,történet
study,tanul
succeed,sikerül
suddenly,hirtelen
suggest,javasol
support,támogat
suppose,feltételez
suppress,elnyom|elfojt
surge,hullámzás|hirtelen növekedés
survive,túlél
take,vesz|visz|elvisz
take a risk,kockázatot vállal
task,feladat
talk,beszélget
tell,mond|elmesél
temporarily,ideiglenesen
that's weird,ez furcsa
thruster,hajtómű
throw,dob|elhajít
touch,megérint
tower,torony
track,nyom|pálya
train,edz|képez
travel,utazik
trust,bízik
try,próbál
turn,fordul|megfordul
turn back,visszafordul
turret,kis torony
understand,megért
unfaithful,hűtlen
unforgettable,felejthetetlen
urgent,sürgős
use,használ
utilizing,használva|alkalmazva
visit,meglátogat
wait,vár
wake,felébred
walk,sétál
wand,varázspálca
wander,kóborol|bolyong
want,akar
water,víz
watch,néz
wear,visel
whether,vajon|hogy-e
whisper,suttog
win,nyer|győz
wish,kíván
witch,boszorkány
wizard,varázsló
work,dolgozik
worry,aggódik
write,ír

act now,cselekedj most
almost there,már majdnem ott vagyunk
back off,hátrálj meg
backup required,erősítés szükséges
brace yourself,készülj fel
clear the area,ürítsd ki a területet
come with me,gyere velem
cover me,fedezz engem
danger zone,veszélyzóna
don't move,ne mozdulj
engage,indítsd
engage thrusters,hajtóművek indítása
evacuate,evakuál
fire at will,tűz szabadon
get down,hasalj le
go go go,gyerünk gyerünk
hold position,tartsd a pozíciót
hostile target,ellenséges célpont
incoming,érkezik (pl. rakéta)
initiate sequence,folyamat indítása
it's a trap,csapda
lock target,célpont befogva
mission accomplished,küldetés teljesítve
move out,indulás
need backup,erősítés kell
open fire,nyiss tüzet
override,felülírás
power up,indítás
prepare for impact,készülj becsapódásra
raise shields,pajzsok fel
reload,újratölt
secure area,terület biztosítva
self-destruct,önmegsemmisítés
shields down,pajzsok lent
stand by,készenlét
target acquired,célpont megvan
under attack,támadás alatt
we're surrounded,körülvettek minket

asap,minél hamarabb
fyi,tájékoztatásul
imo,szerintem
idk,nem tudom
brb,mindjárt jövök
btw,mellesleg
omg,te jó ég
thx,köszi
pls,kérlek
afaik,amennyire tudom
np,nincs mit
